id,code_insee,mjo,annee_semaine
VEL003,59128.0,54.0,2014_39
VEL004,59152.0,225.0,2014_39
VEL005,59163.0,281.0,2014_39
VEL006,59256.0,77.0,2014_39
VEL007,59286.0,208.0,2014_39
VEL008,59303.0,45.0,2014_39
VEL012,59350.0,1445.0,2014_39
VEL014,59350.0,873.0,2014_39
VEL016,59355.0,201.0,2014_39
VEL017,59508.0,104.0,2014_39
VEL018,59512.0,127.0,2014_39
VEL019,59512.0,93.0,2014_39
VEL021,59560.0,148.0,2014_39
VEL022,59599.0,93.0,2014_39
VEL023,59599.0,143.0,2014_39
VEL024,59009.0,52.0,2014_39
VEL027,59636.0,50.0,2014_39
VEL028,59350.0,914.0,2014_39
VEL039,59410.0,333.0,2014_39
VEL001,59017.0,114.0,2014_40
VEL002,59090.0,144.0,2014_40
VEL003,59128.0,70.0,2014_40
VEL004,59152.0,241.0,2014_40
VEL005,59163.0,329.0,2014_40
VEL006,59256.0,82.0,2014_40
VEL007,59286.0,212.0,2014_40
VEL008,59303.0,47.0,2014_40
VEL012,59350.0,1562.0,2014_40
VEL014,59350.0,1026.0,2014_40
VEL016,59355.0,226.0,2014_40
VEL017,59508.0,125.0,2014_40
VEL018,59512.0,140.0,2014_40
VEL019,59512.0,115.0,2014_40
VEL021,59560.0,179.0,2014_40
VEL022,59599.0,105.0,2014_40
VEL023,59599.0,160.0,2014_40
VEL024,59009.0,49.0,2014_40
VEL027,59636.0,68.0,2014_40
VEL028,59350.0,1172.0,2014_40
VEL039,59410.0,365.0,2014_40
VEL001,59017.0,93.0,2014_41
VEL002,59090.0,76.0,2014_41
VEL003,59128.0,54.0,2014_41
VEL004,59152.0,192.0,2014_41
VEL005,59163.0,232.0,2014_41
VEL006,59256.0,59.0,2014_41
VEL007,59286.0,163.0,2014_41
VEL008,59303.0,38.0,2014_41
VEL012,59350.0,1312.0,2014_41
VEL014,59350.0,771.0,2014_41
VEL016,59355.0,182.0,2014_41
VEL017,59508.0,75.0,2014_41
VEL018,59512.0,80.0,2014_41
VEL019,59512.0,78.0,2014_41
VEL021,59560.0,123.0,2014_41
VEL022,59599.0,81.0,2014_41
VEL023,59599.0,110.0,2014_41
VEL024,59009.0,43.0,2014_41
VEL027,59636.0,51.0,2014_41
VEL028,59350.0,846.0,2014_41
VEL039,59410.0,239.0,2014_41
VEL001,59017.0,91.0,2014_42
VEL002,59090.0,60.0,2014_42
VEL003,59128.0,37.0,2014_42
VEL004,59152.0,185.0,2014_42
VEL005,59163.0,221.0,2014_42
VEL006,59256.0,56.0,2014_42
VEL007,59286.0,162.0,2014_42
VEL008,59303.0,33.0,2014_42
VEL012,59350.0,1283.0,2014_42
VEL014,59350.0,709.0,2014_42
VEL016,59355.0,169.0,2014_42
VEL017,59508.0,76.0,2014_42
VEL018,59512.0,76.0,2014_42
